NAE_from,NAE_to,days_High,days_Med,days_Low,days_Limite
1,5,3,2.5,2.5,2.5
6,10,3.5,3,3,3
11,15,4.5,3.5,3,3
16,25,5.5,4.5,3.5,3
26,45,7,5.5,4,3
46,65,8,6,4.5,3.5
66,85,9,7,5,3.5
86,125,11,8,5.5,4
126,175,12,9,6,4.5
176,275,13,10,7,5
276,425,15,11,8,5.5
426,625,16,12,9,6
626,875,17,13,10,6.5
876,1175,19,15,11,7
1176,1550,20,16,12,7.5
1551,2025,21,17,12,8
2026,2675,23,18,13,8.5
2676,3450,25,19,14,9
3451,4350,27,20,15,10
4351,5450,28,21,16,11
5451,6800,30,23,17,12
6801,8500,32,25,19,13
8501,10700,34,27,20,14
10701,,,,,
