code_NACE,code_EAC,Description,Code_QM_Qualite,SMQ_Risque,Code_OH_Securite,SMS_Risque,Code_EM_Environnement,SME_Complexite,broad_cat,Tooltip,Accred_COFRAC_ISO9001,Accred_COFRAC_ISO45001,Accred_COFRAC_ISO14001
01,01,"Cultures, maraîchage, horticulture, élevage, services agricoles et d'élevage",1.1,M,OH10,M,EM2,M,A,,1,0,0
01,01,"Chasse, piégeage, propagation du gibier et services connexes",1.2,M,OH10,M,EM2,M,A,,1,0,0
02,01,"Sylviculture, exploitation forestière et services liés à l'exploitation forestière",1.3,M,OH10,M,EM2,M,A,,1,0,0
05,01,"Pêche, écloserie, fermes piscicoles et activités annexes de services à la pêche ",1.4,M,OH10,M ou E,EM2,M,A,SMS : pêche en haute mer élevé,1,0,0
10+12+13,02,"Extraction de minerais de houille, uranium, thorium, fer et métaux non ferreux ",2.1,M,OH3,E,EM3,E,B,,1,0,1
10+12+13+14,02,"Extraction à ciel ouvert de houille, uranium, thorium, fer, métaux non ferreux, pierres, sable, argile, sel... ",2.2,M,OH3,E,EM3,E,B,,1,0,1
11,02,"Extraction de pétrole brut, de gaz naturel et services annexes à l'extraction (arpentage exclu)",2.3,E,OH13,E,EM4,E,B,,1,0,1
15,03,Fabrication de denrées alimentaires (boissons exclues),3.1,E,OH9,M,EM5,M,C,,1,0,1
15,03,Fabrication de boissons,3.2,E,OH9,M,EM5,M,C,,1,0,1
16,03,Fabrication de produits du tabac,3.3,E,OH9,M,EM5,M,C,,1,0,1
17,04,"Préparation et filature de fibres textiles, tissage de textiles et finition des textiles",4.1,M,OH9,M,EM6,M,D,,1,0,1
17,04,"Fabrication d'articles textiles confectionnés, de bonneterie, d'autres textiles (vêtements exclus)",4.2,F,OH9,M,EM6,M,D,,1,0,1
18,04,Fabrication de vêtements en textile et en fourrure et d'articles en fourrure (vêtements en cuir exclus),4.3,F,OH9,M,EM6,M,D,,1,0,1
18-19,05,"Fabrication de vêtements en cuir et d'articles en cuir (bagages, sacs à main, chaussures, harnais...) - tannage exclu",5.1,M,OH9,M,EM6,M,D,,0,0,1
19,05,Tannage et apprêt du cuir,5.1,M,OH9,E,EM7,E,D,,0,0,1
20,06,"Fab de charpenterie et menuiserie, de récipients et d'autres produits en bois, liège, paille et matières à tresser",6.1,M,OH8,M,EM1,F,E,,1,0,1
20,06,"Sciage, rabotage du bois et imprégnation du bois - fab de feuilles de placage, de contreplaqué & d'autres panneaux",6.1,M,OH8,M,EM8,M,E,,1,0,1
21,07,Fabrication de pâte à papier ,7.1,M,OH8,E,EM9,E,F,,1,0,1
21,07,Fabrication de papier ou de carton (pâte à papier exclue),7.1,M,OH8,M,EM10,M,F,,1,0,1
21,07,Fabrication d'articles en papier ou en carton,7.1,F,OH8,M,EM1,F,F,,1,0,1
22,08,"Edition de produits imprimés : livres, journaux, magazines ",8.1,F,OH9,M,EM1,F,F,,1,0,0
22,08,"Edition de produits sur supports enregistrés sonores, vidéos, informatiques",8.2,M,OH9,F ou M ou E,EM1,F,F,SMS : en fonction des activités menées,1,0,0
22,09,Activités d'impression et de services liés à l'impression ,9.1,M,OH9,M,EM11,M,F,,1,0,1
